NB_DECES_PIETON;NB_BLESSES_PIETON;NB_DECES_VELO;NB_BLESSES_VELO;RUE_ACCDN;CD_GENRE_ACCDN
0;1;0;0;N-D;32
0;1;0;0;CHARLEVOIX;32
0;1;0;0;ST ANTOINE;32
0;1;0;0;ST JACQUES;32
0;1;0;0;WELLINGTON;32
0;1;0;0;WELLINGTON;32
0;1;0;0;PULLMAN;32
0;1;0;0;;32
0;1;0;0;WORKMAN;32
0;1;0;0;COTE ST PAUL;32
0;1;0;0;MONK;32
0;1;0;0;ATWATER;32
0;1;0;0;VERDUN;32
0;1;0;0;;32
0;0;0;0;LASALLE;32
0;1;0;0;VERDUN;32
0;1;0;0;WELLINGTON;32
0;0;0;1;BD ILE DES SOEURS;33
0;1;0;0;WELLINGTON;32
0;1;0;0;DE L EGLISE;32
0;1;0;0;HICKSON;32
0;1;0;0;LASALLE FACE;32
0;1;0;0;PL DU COMMERCE;32
0;0;0;1;HICKSON;33
0;1;0;0;VERDUN;32
0;1;0;0;VERDUN;32
0;1;0;0;GILBERTE DUBE;32
0;1;0;0;VERDUN;32
0;0;0;1;WELLINGTON;33
0;1;0;0;LASALLE ET WOODLAND;32
0;1;0;0;LASALLE;32
0;1;0;0;VERDUN;32
0;0;0;1;WELLINGTON;33
0;1;0;0;BD LASALLE;32
0;1;0;0;WOODLAND;32
0;0;0;1;DESMARCHAIS;33
0;1;0;0;;32
0;1;0;0;DE VERDUN;32
0;1;0;0;;32
0;0;0;1;;33
0;0;0;1;VERDUN;33
0;1;0;0;1RE AV;32
0;0;0;1;WELLINGTON;33
0;1;0;0;BANNANTYNE;32
0;0;0;1;LASALLE;33
0;1;0;0;WELLINGTON;32
0;1;0;0;;32
0;0;0;1;HICKSON;33
0;1;0;0;CHAMPLAIN;32
0;1;0;0;VERDUN;32
0;1;0;0;ARGYLE;32
0;0;0;1;BERLIOZ;33
0;0;0;1;;33
0;0;0;1;STRATHMORE;33
0;1;0;0;BD LASALLE;32
0;1;0;0;WELLINGTON;32
0;1;0;0;BD LASALLE;32
0;1;0;0;MAISONNEUVE;32
0;1;0;0;SHERBROOKE O;32
0;1;0;0;DE MAISONNEUVE;32
0;1;0;0;PEEL;32
0;1;0;0;DUKE;32
0;1;0;0;;32
0;1;0;0;MACKAY;32
0;1;0;0;GAUCHETIERE O;32
0;1;0;0;GUY;32
0;1;0;0;DUKE;32
0;1;0;0;AYLMER;32
0;1;0;0;SHERBROOKE;32
0;0;0;1;MAISONNEUVE;33
0;1;0;0;AYLMER;32
0;2;0;0;RENE LEVESQUE ET UNIVERISITY;32
0;1;0;0;DRUMMOND;32
0;1;0;0;WILLIAM;32
0;1;0;0;CATHCART;32
0;1;0;0;WELLINGTON;32
0;1;0;0;ST ANTOINE;32
0;0;0;1;PRESIDENT KENNEDY;33
0;1;0;0;CATHEDRALE;32
0;0;0;1;SHERBROOKE O;33
0;0;0;0;CAMILIEN HOUDE;32
0;1;0;0;SHERBROOKE;32
0;1;0;0;;32
0;0;0;1;;33
0;1;0;0;RENE LEVESQUE O;32
0;1;0;0;;32
0;1;0;0;INSPECTEUR;32
0;0;0;1;DUKE;33
0;0;0;1;STANLEY;33
0;1;0;0;WELLINGTON;32
0;0;0;0;MAISONNEUVE;33
0;1;0;0;;32
0;1;0;0;;32
0;1;0;0;DRUMMOND;32
0;1;0;0;STE CATHERINE;32
0;1;0;0;PEEL;32
0;0;0;1;METCALFE;33
0;1;0;0;CH COTE DES NEIGES;32
0;0;0;1;DE MAISONNEUVE O;33
0;1;0;0;;32
0;1;0;0;ST JACQUES O;32
0;0;0;1;COTE DES NEIGES;33
0;1;0;0;;32
0;1;0;0;N-D;32
0;0;0;0;PRESIDENT KENNEDY;33
0;0;0;1;UNIVERSITY;33
0;0;0;1;DE MAISONNEUVE;33
0;0;0;1;UNIVERSITY F;33
0;1;0;0;BD RENE LEVESQUE O;32
0;0;0;1;DOCTEUR PENFIELD;33
0;1;0;0;UNION;32
0;0;0;1;DRUMMOND;33
0;1;0;0;SHERBROOKE;32
0;0;0;1;GUY;33
0;1;0;0;;32
0;0;0;1;ST JACQUES;33
0;1;0;0;BELMONT;32
0;0;0;1;SHERBROOKE;33
0;0;0;1;MAISONNEUVE;33
0;1;0;0;PEEL;32
0;1;0;0;ST ANTOINE;32
0;1;0;0;;32
0;1;0;0;VIGER;32
0;1;0;0;BISHOP;32
0;0;0;1;SHERBROOKE;33
0;0;0;1;SHERBROOKE;33
0;0;0;1;SHERBROOKE;33
0;0;0;1;PEEL;33
0;0;0;1;PEEL;33
0;1;0;0;;32
0;1;0;0;STANLEY FACE;32
0;0;0;1;UNIVERSITY;33
0;0;0;1;SHERBROOKE;33
0;0;0;1;SHERBROOKE;33
0;0;0;1;PEEL ET ST ANTOINE;33
0;1;0;0;;32
0;0;0;0;UNIVERSITY;33
0;0;0;1;MANSFIELD;33
0;0;0;1;MAISONNEUVE;33
0;1;0;0;DE LA GAUCHETIERE;32
0;1;0;0;DOCTEUR PENFIELD;32
0;1;0;0;;32
0;1;0;0;;32
0;1;0;0;SHERBROOKE;32
0;0;0;1;MAISONNEUVE O;33
0;1;0;0;;32
0;0;0;1;MAISONNEUVE;33
0;0;0;1;;33
0;1;0;0;SHERBROOKE O;32
0;0;0;1;AV VIGER;33
0;1;0;0;SHERBROOKE;32
0;1;0;0;SHERBROOKE O;32
0;1;0;0;GUY;32
0;0;0;1;MAISONNEUVE;33
0;0;0;1;SHERBROOKE O;33
0;0;0;1;PRESIDENT KENNEDY;33
0;0;0;1;COTE DES NEIGES;33
0;0;0;1;MC GILL COLLEGE;33
0;0;0;1;SHERBROOKE O;33
0;1;0;0;RENE LEVESQUE O;32
0;1;0;0;;32
0;0;0;1;MAISONNEUVE;33
0;1;0;0;RENE LEVESQUE;32
0;0;0;1;COTE DES NEIGES;33
0;1;0;0;PEEL;32
0;1;0;0;UNIVERSITE;32
0;0;0;1;SHERBROOKE O;33
0;1;0;0;ST ANTOINE;32
0;1;0;0;STE CATHERINE;32
0;1;0;0;CRESCENT;32
0;1;0;0;DE LA MONTAGNE;32
0;1;0;0;PEEL;32
0;1;0;0;ST JACQUES;32
0;1;0;0;;32
0;1;0;0;DE LA MONTAGNE;32
0;1;0;0;MONTAGNE;32
0;1;0;0;;32
0;1;0;0;BLEURY;32
0;0;0;1;ONTARIO;33
1;0;0;0;RENE LEVESQUE;32
0;1;0;0;;32
0;1;0;0;ST ANTOINE O;32
0;0;0;1;SHERBROOKE O;33
0;1;0;0;AV PRESIDENT KENNEDY;32
0;1;0;0;;32
0;1;0;0;RENE LEVESQUE;32
0;1;0;0;ONTARIO;32
0;1;0;0;GOSFORD ET ST LOUIS;32
0;1;0;0;SHERBROOKE O;32
0;1;0;0;;32
0;1;0;0;JEANNE MANCE ET PRESIDENT KENNEDY;32
0;1;0;0;STE CATHERINE;32
0;1;0;0;SHERBROOKE;32
0;0;0;1;N-D E;33
0;0;0;1;;33
0;0;0;1;;33
0;0;0;1;RENE LEVESQUE;33
0;1;0;0;RENE LEVESQUE;32
0;2;0;0;;32
0;1;0;0;;32
0;1;0;0;;32
0;0;0;1;ONTARIO;33
0;0;0;2;MAISONNEUVE E;33
0;1;0;0;RENE LEVESQUE O;32
0;0;0;0;SHERBROOKE O;33
0;1;0;0;ST ANTOINE;32
0;0;0;1;CIRCUIT GILLES VILLENEUVE;33
0;1;0;0;RENE LEVESQUE;32
0;0;0;1;SHERBROOKE ET ST DOMINIQUE;33
0;0;0;1;ST DENIS;33
0;1;0;0;RENE LEVESQUE;32
0;1;0;0;BERRI;32
0;1;0;0;STE CATHERINE;32
0;0;0;1;BERRI;33
0;1;0;0;STE CATHERINE OUEST;32
0;0;0;1;ST URBAIN;33
0;0;0;1;ST LAURENT;33
0;0;0;1;BERRI;33
0;0;0;1;BERRI;33
0;0;0;1;BERRI;33
0;1;0;0;ST DENIS;32
0;0;0;1;;33
0;0;0;1;SHERBROOKE;33
0;1;0;0;;32
0;0;0;1;ONTARIO;33
0;0;0;1;ST LAURENT;33
0;1;0;0;D YOUVILLE;32
0;1;0;0;;32
0;0;0;1;GILLES VILLENEUVE;33
0;0;0;1;;33
0;0;0;1;CH DES MOULINS;33
0;0;0;1;ST DENIS;33
